chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
What happened?,1,"['Joey: (on the other end at a pay phone) Hey, its me. Listen Casey and I were on our way back and had a little car trouble.']"
Why cant you tell her?,1,"['Joey: We broke down on the Parkway, so I have to walk back and get some transmission fluid. And hey, listen could you please tell Kathy that Ill be there as soon as I can.']"
Joey! Joey!!,1,"['Joey: Cause I only have one quarter, and I think my time is about to(he stops talking suddenly)']"
I thought your time ran out.,1,['Joey: Yeah?']
"(to Kathy) Uhh, that was Joey. Hes running a little late, he says hes sorry.",1,"['Joey: Me too, but I guess I do have a couple of more(his time runs out for real)']"
"So I guess its just uh, you and me then.",1,['Kathy: Oh.']
"Yeah, I think it is!",1,"['Kathy: Oh, okay.']"
"Oh, I had an appointment to get my haircut",1,['Kathy: So what did you do today?']
and then it got canceled.,1,"['Kathy: (interrupting) Oh, it looks great!']"
Really?! You do that?,1,"['Kathy: Well, I could cut it.']"
"Dog grooming huh? Okay, just dont make my tail too poofy.",1,"['Kathy: Yeah, I do. Of course, I learned at my aunts dog grooming shop, but hey, what do you say?']"
"Well, thanks. I grow it myself. (Kathy is running her fingers through his hair, and Chandler catches himself enjoying it too much.) Yknow who also has great hair is Joey!",1,['Kathy: You have really great hair.']
What-what cha doin?,1,"['Kathy: Yes! Yeah! Joey has great hair! Umm, Im basically done here. Just let me get this off your neck.']"
Kay.,1,['Kathy: Checking to see if its even.']
(jumping up to answer the phone) Oh the phone! The phones making sounds! (On phone) Hello!,1,['Kathy: Looks good.']
Hey its Joey!,1,"['Joey: (on phone) Hey dude, its me.']"
What?,1,"['Joey: Listen uh, Im really sorry, it looks like Im gonna be stuck here for a while. I got the transmission fluid, but when I went to put it in the car, the transmission wasnt there!']"
Okay.,1,"['Joey: Yeah, it mustve fallen out a few blocks back. I just figured we hit a dog.']"
Oh yeah man. (to Kathy) Joey. (Hands her the phone.),1,"['Joey: Listen uh, could you put Kathy on, I wanna apologize.']"
Yeah. Yes! Yeah.,1,"['Kathy: (on phone) Hey. (listens) Oh no its fine, dont worry about it. (listens) Yeah-no, stop apologizing, its okay. (listens) Yeah! Ill talk to you tomorrow. (hangs up) (to Chandler) I should uh, probably go.']"
Oh.,1,['Kathy: I forgot my purse.']
"No-no-no-no, this is bad! Its bad! This is bad!",2,"['Kathy: No, I really did forget my purse.', ""[Scene: Chandler and Joey's, continued from earlier. Chandler and Kathy are still kissing, then they stop suddenly.]""]"
"Wait the uh, the kiss or the situation?",1,['Kathy: Horrible!']
Okay!,1,"['Kathy: No-no-no, the kiss was good.']"
"Ooh! Yes! Okay! Heres what we do, we-we forget it happened.",1,"['Kathy: No, but thats bad!']"
"Okay, we-we swallow our feelings. Even if it means were unhappy forever. Sound good?",1,['Kathy: What?!']
"I have to; hes my best friend, and youre seeing him.",1,['Kathy: Can you really do that?']
"(interrupting) Oh-no-no-no! Dont! Dont! See-see, youre getting me confused, Im starting to urn.",1,"['Kathy: Chandler, I like Joey a lot, but with you']"
I-I think we have too.,1,"['Kathy: Im sorry. If you wanna pretend that nothing happened, I can try.']"
Bye. (Kathy leaves and Chandler wonders over to and leans up against the door.) Are you still out there?,1,['Kathy: Okay. Bye.']
Hang on buddy! (He goes over and unlocks the door and opens it to reveal a fully furnished apartment.),10,"['Rachel: Why not?', 'Phoebe: I cant follow Ross! Itd be like those bicycle ridding chimps that followed The Beetles. No.', 'Monica: Phoebe, Ross sucks!', 'Rachel: Phoebe, the place has emptied because of him.', 'Phoebe: Oh my God, hes not even appreciated in his own time. I would give anything to not be appreciated in my own time!', 'Monica: Okay. Umm, Phoebe, you suck too.', 'Rachel: Yeah, Phoebe youre awful!', 'Phoebe: You guys. You suck too. (She hugs them both.)', ""[Scene: Chandler and Joey's, Joey is opening the door, but Chandler has the chain on it.]"", 'Joey: Aww man! I cant believe I locked myself out again! (He knocks on the door.)']"
I sure did.,1,['Joey: (rushing in) Oh my God! What happened here? Did you do all this?']
"Well, I just thought itd make me feel good to do something nice for my friend.",1,['Joey: Why?']
Oh no-no-no. This is amazing. (He goes over and presses a button on a remote control that opens the entertainment center doors revealing the TV.),1,"['Joey: Well, youre amazing.']"
"Well, yknow Im 29. I mean who needs a savings account.",1,"['Joey: (very excited) A TV as if it appears from nowhere! Thats the dream! Man, how did you afford this stuff?']"
"Oh, I dont know.",1,"['Joey: Oh, you are the best friends anyone has ever had.']"
You mean with Casey.,1,"['Joey: Oh-no-no-no, you are! You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, Im gonna do that.']"
Or Casey.,1,"['Joey: No-no-no, I think Im gonna see how things go with Kathy. Shes pretty cool.']"
Could be Casey.,1,"['Joey: No-no, Kathy.']"
Consider Casey.,1,"['Joey: No. No, Kathy.']"
That all the pieces of my life are falling right into place!,1,['Joey: Yknow what I think? I think somebodys got a little crush on Casey. How bout I fix you two up? What do you think?']
I kissed Kathy.,10,"[""Ross: Oh, thanks, thanks. So Monica tells me that uh, you dont want to play anymore because me and y'know my talent. Is that true?"", 'Phoebe: Well, kinda. Yeah. Yeah.', 'Ross: Pheebs', ""Phoebe: Yeah, I-I cantI mean yknow I was trying to be really y'know okay and upbeat about it, I justI feel so dwarfed by your musical gift. I"", 'Ross: See but, Pheebs that-that is the exact opposite intent of my music. Yknow my music is-is meant to inspire, and if it bothers you this much, then I I wont play anymore.', 'Phoebe: Oh no. No-no-no, dont do that! How could I live with myself if I knew I was depriving the world of your music.', 'Ross: Yeah, okay.', '[Scene: Central Perk, Rachel and Monica are sitting on the couch and Phoebe is getting coffee as Chandler enters. Ross is also there.]', 'Ross: Hey Chandler! Saw the new furniture. Very nice.', 'Monica: Yeah! Joey has the best boyfriend ever!']"
"No. Is there anyway, anyway you think hell understand this?",3,"['Ross: What?', 'Monica: Are you serious?', 'Phoebe: Does Joey know?']"
"Oh, dont say that! Dont say that. Thats not true. Is it?",2,"['Monica: You obviously havent screwed over a lot of your friends. (They all look at her) Which we all appreciate.', 'Ross: No the-the sad thing is, if you had told him how you felt before you kissed her, knowing Joey, he probably just wouldve just stepped aside.']"
Then why didnt you tell me to do that?!!,2,"['Phoebe: I think maybe, yeah.', 'Monica: He loves you.']"
God!! (Sits down in disgust.) What am I gonna do?!,4,"['Ross: Well, I said-I said something to Phoebe.', 'Phoebe: Yeah! No, thats right. And I thought it was a really good idea.', 'Rachel: I know, I remember that!', 'Monica: I remember you did.']"
Why?! Why do I have to tell him?!,1,"['Rachel: Well, Chandler, youre gonna have to tell him.']"
"Yeah, I know.",1,['Rachel: Because you do.']
Hey!,2,"['Ross: Hey, would it be okay if I wrote a song about this.', ""[Scene: Chandler and Joey's, Joey is watching TV as Chandler enters.]""]"
Is that a real thing?,1,['Joey: Hey! Samboucha Margarita?']
"Listen ah, Joe, I-I need to, I need to talk to you about something.",1,"['Joey: Well, we only had samboucha, so it is now.']"
"Its-its about Kathy. Umm, uh, I like her. I like her a lot actually.",1,['Joey: Whats up?']
Yeah.,1,['Joey: You do?']
What?,1,"['Joey: Well, youre timing couldnt be better. Shes not my girlfriend anymore.']"
"Oh uh, when?",1,"['Joey: Yeah, she broke up with me.']"
"Oh man, I am so sorry. Are, are you okay?",1,"['Joey: Just now, after acting class. At first I thought she was doing some kind of scene, thats why I let people watch.']"
"Yes, but I-I uh, dont have too.",1,"['Joey: Well, Ive been better. But, Im all right. So you like her huh?']"
Yeah?,1,"['Joey: No-no-no, no its uh, its okay.']"
"Well, I thought that would be the best thing to do.",1,['Joey: Yeah. You know why? Cause you came to me first.']
"See uh, thats-thats actually what I wanted to talk to you about. I-I think I know who the other guy is.",1,"['Joey: But hey, listen just so you know, you might have youre work cut out for you. Cause when I talked to her, I kinda got the feeling that shes into some other guy. So']"
Its me. Im the other guy.,1,['Joey: Who?']
"Yeah, I mean when you were late last night, Kathy and I got to talking, and one thing to another and",1,['Joey: What?']
No! No! No! I just kissed her.,1,['Joey: And what?! Did you sleep with her?!']
How is that worse?!,1,['Joey: What?!! Thats even worse!!']
"Look, Im sorry! But theres nothing I can do, I think Im in love with her!",1,['Joey: I dont know! But its the same!']
"Youre right, I have no excuses! I was totally over the line.",1,['Joey: Who cares?! You went behind my back! I would never do that to you!']
Yes. Yes! Right! And I feel horrible. You have to believe me!,1,"['Joey: Over the line?! You-youre-youre so far past the line, that you-you cant even see the line! The line is a dot to you!']"
Probably because,1,"['Joey: Is that why you bought all this stuff?! (Chandler makes a face like ""Well, kinda."") Well, yknow what I will not watch your TV, I will not listen to your stereo, and theres a cinnamon raisin loaf in the new bread maker that Im not gonna eat! You know why?!']"
"(on phone) Hey, its me. I know you cant stand to be in the same room as me, so I just thought Id try and apologize over the phone. All I (Joey hangs up the phone in disgust.)",10,"['Ross: Thank you, thanks. (Sits down next to the girls) Yeah, I lost it. Yknow, Im not gonna play anymore, (to Phoebe) would you, can you finish my set?', 'Phoebe: After that? Yeah! No, I mean if I can help.', 'Ross: Yeah, like I could lose it.', 'Rachel: What?', 'Ross: I played bad on purpose guys.', 'Monica: Okay, so you were trying to play bad this whole time.', 'Ross: Yeahno, just that last song.', 'Written by: Michael Borkow Transcribed by: Eric Aasen', ""[Scene: Chandler and Joey's, Joey is sitting at the counter reading a magazine as the phone rings.]"", 'Joey: (answering phone) Hello.']"
"Look I never should have kissed your girlfriend, but Im (Joey hangs up the phone again.)",1,['Joey: (answering phone) Hello.']
"(entering) Aww, turkey! Aww, giving thanks! Aww!",5,"['Joey: (answering phone) Stop callin!!', 'Voice: (on phone) Hey! Hey! Hey! This is 92.3, WXRK, K-Rock for our $1,000 daily challenge.', 'Joey: All right!', 'Voice: What is the name of your roommate who is very, very sorry and would do anything (Joey realizes its Chandler and hangs up the phone in anger.)', ""[Scene: Monica and Rachel's, everyone but Joey and Chandler are there getting ready for Thanksgiving.]""]"
"They couldnt be worse. I spent eight hours calling him last night, just trying to get him to talk to me.",2,"['Phoebe: Look everyone, its the spirit of Thanksgiving!', 'Rachel: So are things with you and Joey any better?']"
"Hey, by any chance did either of pick uh Rachel for your secret Santa, cause I wanna trade for her.",8,"['Rachel: Oh wow, eight hours? So you could probably really use one of those plug-in telephone headsets huh?', 'Ross: Should we all expect Christmas gifts that can be stolen from your office?', 'Rachel: You shouldnt.', 'Phoebe: Speaking of Christmas, umm since Monica and I are starting a new business and have like no money, umm, this year maybe we could do secret Santa, and then we each only buy one gift. And-and theres the added mystery of who gets who.', 'Ross: Who gets whom. (They all look at him.) I dont know why I do that.', 'Rachel: Well, Im gonna take a nap, turkey makes me sleepy.', 'Monica: We havent eaten yet!', 'Rachel: I know, but all that work youre doing to get it ready, I just (goes into her bedroom.)']"
Wow! Why do you want to get rid of her so badly?,1,['Phoebe: I picked her! Oh thank God you want her! Ooh!']
"Oh thats not true! Thats not true! I got her that backpack and she loved it! I remember how much she was crying the day when that big dog ran off with it (notices the look on Monica and Phoebes faces.) Oh, there was no big dog. All right this sucks! I already got her this briefcase, and I had R.G. put on it (Phoebe looks confused.) Her initials",1,"['Phoebe: Because she exchanges every gift she ever gets, its like impossible to get her something she likes. Come on, lets trade!']"
"Op, y'know what though, its kindve a girlie briefcase.",2,"['Phoebe: Ohh.', 'Monica: Well, maybe you could give to somebody else. Ooh, like Ross Geller.']"
"Hey, what time is it? The big game is about to start!",1,['Monica: Who cares? He works in a museum!']
Thanks.,1,"['Phoebe: You dont have to do that, Ross and Joey arent here, you can watch the parade if you want.']"
"Monica got ice in her eye, and it hurts.",4,"['Monica: What is wrong with this freezer?! (She jabs her arm into the freezer and a piece of ice flies into her eye.) Ow! Ow!!', 'Phoebe: God, what happened?!', 'Monica: Oh my God, ice just got in my eye!', 'Rachel: (standing in her doorway) People are trying to sleep in here!']"
